EmployeeID;Gender;Age;Education;EducationType;MaritalStatus;TotalCompanies;TotalExperience;DistanceToOffice;Department;Traveltype_last_year;BillingRate;MonthlyIncome;Years_at_Company;Years_InCurrentRole;LastSalaryHike;PotentialReview;PerformanceReview;SatisfactionScore;JobRole_SatisfactionScore;Overall_SatisfactionScore
AB0013;NA;28.0;Graduation;Marketing / Finance;Divorced;9.0;21.0;7.0;ClientSolutions;LongTermProject;101.0;15085.3;;10.0;16.0;High;Met Expectations;Detractor;Detractor;Promoter
AB0014;Female;34.0;Masters / PHD;Economics;Single;10.0;9.0;9.0;ClientSolutions;Conference;84.0;5137.0;4.0;3.0;15.0;High;Met Expectations;Passive;Passive;Passive
AB0015;Male;21.0;Under Graduation;Bio-technology;Married;1.0;1.0;2.0;ClientSolutions;Conference;22.0;2745.0;1.0;;19.0;High;Met Expectations;Passive;Passive;Detractor
AB0016;Female;28.0;Masters / PHD;Economics;Divorced;5.0;14.0;26.6;ClientSolutions;Conference;166.0;2787.0;9.0;7.0;22.0;High;Exceed Expectations;Passive;Promoter;Detractor
AB0017;Male;34.0;Graduation;Economics;Married;7.0;31.0;2.0;ClientSolutions;Conference;36.0;15085.3;29.0;8.0;14.0;High;Met Expectations;Detractor;Passive;Detractor
AB0018;Male;34.0;Graduation;Bio-technology;Married;1.0;13.0;1.0;BusinessDevelopment;Conference;78.0;9215.0;13.0;9.0;18.0;Very High;Met Expectations;Passive;Detractor;Passive
AB0019;Male;47.0;Graduation;Bio-technology;Divorced;4.0;36.0;26.6;BusinessDevelopment;Conference;25.0;15085.3;1.0;0.0;15.0;Medium;Met Expectations;Detractor;Promoter;Passive
AB0020;Female;32.0;Graduation;Economics;Single;3.0;14.0;2.0;ClientSolutions;No;72.0;4025.0;;0.0;22.0;Medium;Exceed Expectations;Detractor;Detractor;Passive
AB0021;NA;38.0;Graduation;Economics;Married;7.0;18.0;7.0;ClientSolutions;Conference;152.0;8036.0;10.0;9.0;21.0;High;Exceed Expectations;Passive;Promoter;Passive
AB0022;Female;28.0;Under Graduation;Marketing / Finance;Single;1.0;7.0;2.0;ClientSolutions;Conference;87.0;2598.0;5.0;3.0;20.0;Medium;Exceed Expectations;Promoter;Promoter;Promoter
AB0023;Male;25.0;Graduation;Marketing / Finance;Single;1.0;5.0;8.0;ClientSolutions;No;40.0;2575.0;4.0;;22.0;Medium;Exceed Expectations;Passive;Detractor;Detractor
AB0024;Male;30.0;Graduation;Phycology / Behavior Sciences;Divorced;3.0;25.0;8.0;Support;Conference;147.0;4489.0;13.0;0.0;16.0;High;Met Expectations;Passive;Passive;Passive
AB0025;NA;20.0;Under Graduation;Marketing / Finance;Married;1.0;13.0;4.0;ClientSolutions;Conference;152.0;3461.0;13.0;10.0;16.0;Very High;Met Expectations;Passive;Promoter;Detractor
AB0026;NA;33.0;Masters / PHD;Bio-technology;Single;1.0;8.0;7.0;ClientSolutions;Conference;79.0;4765.0;7.0;5.0;18.0;High;Met Expectations;Passive;Passive;Passive
AB0027;Female;34.0;Under Graduation;Economics;Married;5.0;36.0;4.0;ClientSolutions;Conference;51.0;15085.3;;14.0;20.0;Medium;Met Expectations;Passive;Passive;Passive
AB0028;Male;34.0;Masters / PHD;Marketing / Finance;Married;5.0;21.0;3.0;BusinessDevelopment;ClientEngagement;81.0;10645.0;17.0;12.0;14.0;Medium;Met Expectations;Detractor;Promoter;Detractor
AB0029;Male;42.0;Graduation;Bio-technology;Divorced;4.0;23.0;6.0;ClientSolutions;Conference;114.0;6137.0;13.0;12.0;15.0;High;Met Expectations;Promoter;Detractor;Passive
AB0030;Male;18.0;Under Graduation;Phycology / Behavior Sciences;Married;8.0;9.0;2.0;ClientSolutions;Conference;106.0;4387.0;3.0;3.0;20.0;High;Met Expectations;Promoter;Passive;Passive
AB0031;Male;35.0;Graduation;Economics;Married;4.0;9.0;15.0;BusinessDevelopment;ClientEngagement;94.0;7479.0;3.0;;19.0;Medium;Met Expectations;Promoter;Promoter;Passive
AB0032;Female;25.0;Graduation;Economics;Married;4.0;9.0;1.0;ClientSolutions;Conference;112.0;4229.0;3.0;3.0;21.0;Low;Exceed Expectations;Promoter;Passive;Passive
AB0033;Female;38.0;Graduation;Economics;Single;1.0;12.0;4.0;BusinessDevelopment;Conference;113.0;4590.0;12.0;0.0;18.0;High;Met Expectations;Promoter;Promoter;Passive
AB0034;Male;45.0;Graduation;Marketing / Finance;Married;10.0;36.0;2.0;ClientSolutions;Conference;58.0;15085.3;;0.0;15.0;Medium;Met Expectations;Passive;Detractor;Passive
AB0035;Male;;Graduation;Economics;Single;1.0;5.0;1.0;ClientSolutions;Conference;92.0;5087.0;5.0;4.0;15.0;Medium;Met Expectations;Passive;Passive;Passive
AB0036;Female;34.0;Graduation;Economics;Married;10.0;10.0;1.0;ClientSolutions;Conference;111.0;6667.0;5.0;4.0;16.0;Medium;Met Expectations;Promoter;Promoter;Promoter
AB0037;Male;32.0;Graduation;Economics;Married;1.0;12.0;1.0;ClientSolutions;No;96.0;7115.0;12.0;10.0;17.0;High;Met Expectations;Promoter;Promoter;Promoter
AB0038;Male;31.0;Masters / PHD;Phycology / Behavior Sciences;Single;4.0;6.0;1.0;ClientSolutions;Conference;180.0;3098.0;4.0;3.0;14.0;Medium;Met Expectations;Promoter;Detractor;Passive
AB0039;Female;41.0;Masters / PHD;Marketing / Finance;Single;5.0;9.0;1.0;BusinessDevelopment;No;121.0;7162.36922;1.0;;17.0;High;Met Expectations;Promoter;Promoter;Passive
AB0040;Male;16.0;Under Graduation;Marketing / Finance;Single;1.0;3.0;5.0;BusinessDevelopment;Conference;54.0;2640.0;3.0;3.0;14.0;High;Met Expectations;Passive;Detractor;Promoter
AB0041;Female;17.0;Graduation;Economics;Single;1.0;1.0;13.0;BusinessDevelopment;Conference;19.0;3007.0;;0.0;17.0;Very High;Met Expectations;Passive;Passive;Promoter
AB0042;Female;23.0;Graduation;Marketing / Finance;Divorced;1.0;8.0;26.6;ClientSolutions;Conference;70.0;5371.0;7.0;4.0;21.0;Low;Exceed Expectations;Passive;Detractor;Passive
AB0043;Female;39.0;Graduation;Bio-technology;Single;9.0;33.0;1.0;ClientSolutions;Conference;84.0;15085.3;9.0;1.0;15.0;Medium;Met Expectations;Passive;Passive;Promoter
AB0044;Female;39.0;Graduation;Marketing / Finance;Divorced;10.0;36.0;3.0;BusinessDevelopment;ClientEngagement;26.0;15085.3;29.0;3.0;15.0;High;Met Expectations;Promoter;Passive;Promoter
AB0045;Male;35.0;Masters / PHD;Economics;Married;7.0;22.0;1.0;BusinessDevelopment;Conference;94.0;11640.0;18.0;1.0;14.0;Medium;Met Expectations;Detractor;Passive;Passive
AB0046;Male;33.0;Masters / PHD;Economics;Married;4.0;20.0;18.0;BusinessDevelopment;Conference;204.0;9843.0;9.0;9.0;17.0;High;Met Expectations;Passive;Detractor;Promoter
AB0047;Female;29.0;Graduation;Economics;Divorced;7.0;9.0;3.0;ClientSolutions;Conference;109.0;3138.0;1.0;;22.0;High;Exceed Expectations;Detractor;Promoter;Detractor
AB0048;Male;33.0;Graduation;Economics;Single;9.0;21.0;9.0;BusinessDevelopment;No;32.0;6851.0;;4.0;16.0;High;Met Expectations;Promoter;Promoter;Promoter
AB0049;Male;48.0;Masters / PHD;Bio-technology;Single;10.0;13.0;15.0;BusinessDevelopment;Conference;177.0;5948.0;3.0;3.0;16.0;High;Met Expectations;Detractor;Detractor;Promoter
AB0050;Male;32.0;Masters / PHD;Bio-technology;Married;1.0;7.0;16.0;ClientSolutions;No;145.0;2560.0;7.0;3.0;22.0;Low;Exceed Expectations;Promoter;Detractor;Promoter
AB0051;Male;36.0;Masters / PHD;Economics;Single;10.0;25.0;3.0;BusinessDevelopment;Conference;155.0;7541.0;1.0;0.0;15.0;High;Met Expectations;Passive;Promoter;Passive
AB0052;Female;21.0;Graduation;Economics;Married;1.0;1.0;1.0;ClientSolutions;Conference;57.0;3245.0;1.0;0.0;16.0;Medium;Met Expectations;Passive;Passive;Passive
AB0053;Male;28.0;Graduation;Phycology / Behavior Sciences;Divorced;1.0;1.0;4.0;ClientSolutions;Conference;55.0;2342.35;1.0;0.0;15.0;High;Met Expectations;Passive;Promoter;Passive
AB0054;Female;26.0;Graduation;Economics;Single;4.0;13.0;3.0;ClientSolutions;Conference;121.0;12242.0;9.0;9.0;17.0;High;Met Expectations;Passive;Promoter;Promoter
AB0055;Female;48.0;Masters / PHD;Marketing / Finance;Married;4.0;36.0;18.0;ClientSolutions;LongTermProject;134.0;15085.3;;;22.0;Medium;Exceed Expectations;Passive;Promoter;Passive
AB0056;Male;25.0;Graduation;Economics;Divorced;1.0;8.0;1.0;Support;Conference;40.0;2342.35;7.0;4.0;21.0;High;Exceed Expectations;Passive;Passive;Detractor
AB0057;Female;30.0;Graduation;Marketing / Finance;Married;4.0;13.0;1.0;ClientSolutions;Conference;47.0;8520.0;7.0;5.0;20.0;Medium;Met Expectations;Promoter;Passive;Promoter
AB0058;Female;25.0;Graduation;Economics;Married;1.0;13.0;5.0;ClientSolutions;LongTermProject;95.0;9818.0;13.0;12.0;23.0;Medium;Exceed Expectations;Passive;Passive;Detractor
AB0059;Female;41.0;Graduation;Economics;Married;5.0;33.0;20.0;ClientSolutions;Conference;160.0;15085.3;4.0;3.0;14.0;High;Met Expectations;Promoter;Detractor;Passive
AB0060;Female;48.0;Masters / PHD;Phycology / Behavior Sciences;Married;10.0;16.0;6.0;ClientSolutions;Conference;39.0;3263.0;7.0;5.0;16.0;Very High;Met Expectations;Passive;Detractor;Passive
AB0061;Male;36.0;Graduation;Economics;Married;5.0;13.0;3.0;ClientSolutions;Conference;113.0;2620.0;4.0;3.0;15.0;High;Met Expectations;Promoter;Detractor;Passive
AB0062;Male;29.0;Graduation;Bio-technology;Married;1.0;16.0;16.0;BusinessDevelopment;Conference;149.0;8808.0;;12.0;17.0;High;Met Expectations;Passive;Passive;Passive
AB0063;Female;39.0;Masters / PHD;Phycology / Behavior Sciences;Single;3.0;13.0;2.0;ClientSolutions;No;76.0;7486.0;10.0;;18.0;Medium;Met Expectations;Detractor;Passive;Detractor
AB0064;Male;46.0;Graduation;Economics;Single;5.0;36.0;7.0;ClientSolutions;Conference;170.0;7977.0;8.0;5.0;14.0;Low;Met Expectations;Promoter;Promoter;Detractor
AB0065;Female;37.0;Graduation;Marketing / Finance;Single;4.0;29.0;26.6;ClientSolutions;LongTermProject;44.0;15085.3;0.0;0.0;22.0;High;Exceed Expectations;Passive;Passive;Passive
AB0066;Female;25.0;Graduation;Marketing / Finance;Single;10.0;12.0;11.0;ClientSolutions;Conference;132.0;10610.0;9.0;9.0;16.0;High;Met Expectations;Detractor;Passive;Passive
AB0067;Female;;Graduation;Bio-technology;Married;1.0;13.0;8.0;ClientSolutions;LongTermProject;84.0;6952.0;13.0;12.0;14.0;High;Met Expectations;Promoter;Passive;Detractor
AB0068;Male;33.0;Masters / PHD;Marketing / Finance;Married;1.0;8.0;19.0;BusinessDevelopment;Conference;102.0;6119.0;7.0;4.0;18.0;High;Met Expectations;Passive;Detractor;Promoter
AB0069;Female;36.0;Under Graduation;Bio-technology;Married;1.0;36.0;1.0;BusinessDevelopment;Conference;29.0;15085.3;;0.0;17.0;High;Met Expectations;Detractor;Promoter;Promoter
AB0070;Male;30.0;Graduation;Bio-technology;Married;1.0;6.0;9.0;ClientSolutions;Conference;70.0;4619.0;7.0;3.0;16.0;Medium;Met Expectations;Passive;Passive;Detractor
AB0071;Male;29.0;Masters / PHD;Marketing / Finance;Divorced;10.0;12.0;3.0;ClientSolutions;LongTermProject;199.0;14993.0;3.0;;15.0;Very High;Met Expectations;Passive;Passive;Detractor
AB0072;Female;16.0;Graduation;Economics;Single;1.0;1.0;6.0;ClientSolutions;LongTermProject;106.0;3237.0;1.0;0.0;19.0;Medium;Met Expectations;Promoter;Detractor;Passive
AB0073;Female;25.0;Graduation;Bio-technology;Single;7.0;10.0;3.0;ClientSolutions;Conference;122.0;7162.36922;7.0;3.0;14.0;High;Met Expectations;Promoter;Detractor;Passive
AB0074;Male;23.0;Graduation;Marketing / Finance;Married;1.0;7.0;4.0;BusinessDevelopment;No;15.0;4654.0;7.0;5.0;17.0;High;Met Expectations;Passive;Passive;Passive
AB0075;Female;33.0;Graduation;Marketing / Finance;Married;8.0;26.0;1.0;ClientSolutions;Conference;84.0;3808.0;1.0;0.0;22.0;Medium;Exceed Expectations;Passive;Passive;Passive
AB0076;Male;24.0;Graduation;Economics;Divorced;1.0;8.0;7.0;ClientSolutions;Conference;161.0;7281.0;;0.0;14.0;High;Met Expectations;Passive;Promoter;Passive
AB0077;Female;19.0;Graduation;Phycology / Behavior Sciences;Married;1.0;5.0;7.0;BusinessDevelopment;Conference;161.0;5504.0;4.0;3.0;21.0;High;Exceed Expectations;Detractor;Passive;Detractor
AB0078;Male;37.0;Graduation;Bio-technology;Married;5.0;13.0;26.6;ClientSolutions;Conference;176.0;10296.0;4.0;1.0;19.0;High;Met Expectations;Passive;Promoter;Promoter
AB0079;Female;34.0;Graduation;Bio-technology;Married;1.0;30.0;9.0;ClientSolutions;Conference;165.0;7162.36922;29.0;;15.0;High;Met Expectations;Passive;Passive;Promoter
AB0080;Male;16.0;Graduation;Bio-technology;Single;1.0;1.0;5.0;BusinessDevelopment;ClientEngagement;158.0;2342.35;0.0;0.0;16.0;High;Met Expectations;Passive;Passive;Promoter
AB0081;Male;46.0;Graduation;Economics;Married;1.0;17.0;1.0;ClientSolutions;Conference;48.0;5396.0;16.0;12.0;23.0;Very High;Exceed Expectations;Detractor;Passive;Detractor
AB0082;Male;46.0;Graduation;Marketing / Finance;Married;9.0;36.0;9.0;ClientSolutions;Conference;101.0;12180.0;13.0;9.0;14.0;High;Met Expectations;Passive;Promoter;Passive
AB0083;Female;35.0;Graduation;Economics;Single;5.0;9.0;8.0;ClientSolutions;No;42.0;7162.36922;;3.0;16.0;High;Met Expectations;Detractor;Passive;Passive
AB0084;Female;30.0;Masters / PHD;Economics;Married;1.0;8.0;7.0;ClientSolutions;Conference;97.0;6951.0;8.0;5.0;15.0;High;Met Expectations;Detractor;Promoter;Promoter
AB0085;Male;34.0;Graduation;Economics;Divorced;5.0;17.0;13.0;ClientSolutions;Conference;56.0;2718.0;12.0;10.0;15.0;High;Met Expectations;Detractor;Passive;Detractor
AB0086;Male;30.0;Masters / PHD;Economics;Single;10.0;10.0;5.0;ClientSolutions;Conference;206.0;10623.0;1.0;0.0;23.0;Medium;Exceed Expectations;Promoter;Promoter;Passive
AB0087;Male;26.0;Masters / PHD;Marketing / Finance;Single;1.0;7.0;3.0;ClientSolutions;Conference;167.0;2342.35;5.0;;16.0;Medium;Met Expectations;Detractor;Promoter;Promoter
AB0088;Female;35.0;Graduation;Economics;Married;5.0;16.0;1.0;ClientSolutions;LongTermProject;51.0;6120.0;7.0;3.0;16.0;High;Met Expectations;Promoter;Promoter;Passive
AB0089;Male;34.0;Masters / PHD;Marketing / Finance;Single;5.0;21.0;2.0;ClientSolutions;Conference;141.0;2792.0;14.0;10.0;21.0;High;Exceed Expectations;Passive;Passive;Passive
AB0090;Female;27.0;Graduation;Marketing / Finance;Single;4.0;13.0;9.0;ClientSolutions;Conference;115.0;6755.0;;1.0;14.0;High;Met Expectations;Passive;Passive;Promoter
AB0091;Female;31.0;Masters / PHD;Marketing / Finance;Married;8.0;9.0;3.0;ClientSolutions;Conference;22.0;2905.0;4.0;3.0;21.0;Medium;Exceed Expectations;Passive;Passive;Promoter
AB0092;Female;32.0;Graduation;Economics;Married;10.0;17.0;1.0;Support;Conference;168.0;5729.0;7.0;5.0;14.0;Medium;Met Expectations;Promoter;Promoter;Passive
AB0093;Female;34.0;Graduation;Phycology / Behavior Sciences;Married;5.0;27.0;7.0;Support;Conference;139.0;15085.3;26.0;9.0;16.0;High;Met Expectations;Passive;Detractor;Passive
AB0094;Female;39.0;Graduation;Marketing / Finance;Married;5.0;13.0;2.0;ClientSolutions;Conference;32.0;5275.0;4.0;3.0;24.0;Medium;Exceed Expectations;Passive;Detractor;Detractor
AB0095;Male;43.0;Graduation;Economics;Single;3.0;25.0;6.0;ClientSolutions;Conference;42.0;2717.0;3.0;;18.0;High;Exceed Expectations;Promoter;Promoter;Promoter
AB0096;Male;48.0;Masters / PHD;Bio-technology;Married;1.0;36.0;26.6;BusinessDevelopment;Conference;98.0;15085.3;47.0;8.0;21.0;Medium;Exceed Expectations;Passive;Promoter;Passive
AB0097;Male;33.0;Graduation;Bio-technology;Married;1.0;10.0;26.6;ClientSolutions;Conference;36.0;9220.0;;9.0;16.0;High;Met Expectations;Passive;Detractor;Passive
AB0098;Male;35.0;Graduation;Marketing / Finance;Married;10.0;31.0;1.0;BusinessDevelopment;Conference;163.0;11501.0;26.0;8.0;16.0;Medium;Met Expectations;Passive;Detractor;Promoter
AB0099;Male;34.0;Graduation;Marketing / Finance;Divorced;3.0;27.0;9.0;ClientSolutions;LongTermProject;102.0;15085.3;23.0;21.0;18.0;High;Met Expectations;Detractor;Passive;Passive
AB0100;Female;31.0;Masters / PHD;Economics;Married;1.0;10.0;2.0;ClientSolutions;LongTermProject;209.0;5648.0;10.0;9.0;14.0;High;Met Expectations;Promoter;Passive;Promoter
AB0101;Male;32.0;Graduation;Marketing / Finance;Divorced;1.0;29.0;2.0;ClientSolutions;Conference;168.0;15085.3;27.0;9.0;20.0;High;Met Expectations;Detractor;Detractor;Promoter
AB0102;Female;38.0;Graduation;Marketing / Finance;Divorced;3.0;25.0;20.0;ClientSolutions;Conference;180.0;5298.0;13.0;9.0;16.0;High;Met Expectations;Passive;Passive;Passive
AB0103;Male;34.0;Masters / PHD;Economics;Married;1.0;13.0;7.0;BusinessDevelopment;No;215.0;8335.0;13.0;;17.0;Low;Met Expectations;Promoter;Detractor;Passive
AB0104;Female;22.0;Graduation;Economics;Single;1.0;1.0;4.0;ClientSolutions;Conference;75.0;2572.0;;1.0;20.0;High;Met Expectations;Passive;Passive;Passive
AB0105;Female;27.0;Graduation;Bio-technology;Single;1.0;1.0;5.0;BusinessDevelopment;Conference;42.0;3155.0;1.0;0.0;16.0;High;Met Expectations;Promoter;Passive;Passive
AB0106;Female;45.0;Masters / PHD;Marketing / Finance;Married;4.0;34.0;1.0;ClientSolutions;Conference;54.0;15085.3;26.0;22.0;20.0;High;Met Expectations;Detractor;Passive;Passive
AB0107;Male;30.0;Masters / PHD;Bio-technology;Married;5.0;12.0;1.0;ClientSolutions;No;84.0;4507.0;8.0;7.0;16.0;High;Met Expectations;Promoter;Detractor;Passive
AB0108;Male;27.0;Masters / PHD;Bio-technology;Single;1.0;3.0;5.0;ClientSolutions;Conference;215.0;3800.0;3.0;3.0;16.0;High;Met Expectations;Passive;Passive;Passive
AB0109;Male;23.0;Graduation;Economics;Married;1.0;7.0;7.0;ClientSolutions;Conference;143.0;2342.35;7.0;4.0;14.0;High;Met Expectations;Passive;Promoter;Passive
AB0110;Male;26.0;Graduation;Bio-technology;Married;1.0;10.0;23.0;BusinessDevelopment;No;89.0;6759.0;9.0;9.0;16.0;High;Met Expectations;Passive;Passive;Detractor
AB0111;Male;34.0;Graduation;Economics;Married;8.0;29.0;14.0;ClientSolutions;Conference;70.0;15085.3;;;23.0;High;Exceed Expectations;Passive;Detractor;Passive
AB0112;Male;29.0;Graduation;Economics;Married;1.0;13.0;26.6;ClientSolutions;Conference;91.0;3763.0;13.0;12.0;18.0;Very High;Met Expectations;Passive;Passive;Promoter
AB0113;Female;29.0;Masters / PHD;Bio-technology;Single;5.0;13.0;2.0;ClientSolutions;LongTermProject;197.0;5471.0;12.0;9.0;18.0;Medium;Met Expectations;Promoter;Detractor;Promoter
AB0114;Male;37.0;Graduation;Economics;Divorced;4.0;16.0;2.0;ClientSolutions;Conference;84.0;9419.0;12.0;10.0;16.0;High;Met Expectations;Promoter;Promoter;Passive
AB0115;Male;18.0;Graduation;Economics;Single;1.0;5.0;1.0;ClientSolutions;Conference;69.0;3728.0;4.0;3.0;15.0;High;Met Expectations;Promoter;Passive;Promoter
AB0116;Male;48.0;Masters / PHD;Economics;Married;8.0;36.0;7.0;Support;Conference;31.0;7162.36922;9.0;4.0;16.0;High;Exceed Expectations;Promoter;Passive;Detractor
AB0117;Male;18.0;Under Graduation;Marketing / Finance;Married;4.0;9.0;20.0;ClientSolutions;Conference;96.0;4050.0;4.0;3.0;14.0;High;Met Expectations;Promoter;Promoter;Passive
AB0118;Male;29.0;Masters / PHD;Economics;Married;1.0;1.0;12.0;BusinessDevelopment;ClientEngagement;67.0;2342.35;;0.0;19.0;Medium;Met Expectations;Passive;Detractor;Passive
AB0119;Female;23.0;Graduation;Marketing / Finance;Married;1.0;8.0;2.0;BusinessDevelopment;Conference;140.0;6119.0;8.0;;16.0;High;Met Expectations;Passive;Passive;Detractor
AB0120;Female;44.0;Masters / PHD;Marketing / Finance;Married;3.0;9.0;5.0;ClientSolutions;No;172.0;5788.0;1.0;0.0;16.0;High;Met Expectations;Passive;Passive;Passive
AB0121;Female;36.0;Graduation;Marketing / Finance;Married;4.0;30.0;20.0;BusinessDevelopment;Conference;176.0;14605.0;16.0;14.0;19.0;Very High;Met Expectations;Promoter;Promoter;Passive
AB0122;Male;33.0;Graduation;Marketing / Finance;Single;8.0;10.0;7.0;ClientSolutions;Conference;65.0;5509.0;3.0;3.0;16.0;High;Met Expectations;Promoter;Passive;Passive
AB0123;Female;30.0;Graduation;Marketing / Finance;Married;5.0;12.0;1.0;ClientSolutions;LongTermProject;71.0;7162.36922;8.0;1.0;16.0;Medium;Exceed Expectations;Passive;Detractor;Passive
AB0124;Female;26.0;Under Graduation;Economics;Divorced;1.0;8.0;11.0;ClientSolutions;Conference;62.0;3080.0;7.0;4.0;16.0;High;Met Expectations;Promoter;Detractor;Passive
AB0125;Female;29.0;Masters / PHD;Bio-technology;Married;1.0;17.0;21.0;BusinessDevelopment;Conference;29.0;6017.0;;9.0;16.0;Medium;Met Expectations;Detractor;Promoter;Detractor
AB0126;Male;27.0;Masters / PHD;Marketing / Finance;Married;7.0;7.0;2.0;ClientSolutions;Conference;174.0;3826.0;4.0;3.0;16.0;Low;Met Expectations;Detractor;Promoter;Passive
AB0127;Male;33.0;Masters / PHD;Economics;Single;10.0;13.0;8.0;ClientSolutions;Conference;113.0;7849.0;1.0;;20.0;Medium;Met Expectations;Passive;Passive;Passive
AB0128;Female;43.0;Graduation;Bio-technology;Married;3.0;36.0;1.0;BusinessDevelopment;ClientEngagement;15.0;8267.0;20.0;9.0;15.0;Medium;Met Expectations;Passive;Passive;Detractor
AB0129;Male;40.0;Masters / PHD;Phycology / Behavior Sciences;Single;4.0;18.0;2.0;BusinessDevelopment;Conference;200.0;7453.0;1.0;0.0;22.0;Medium;Exceed Expectations;Detractor;Promoter;Passive
AB0130;Male;19.0;Under Graduation;Economics;Single;4.0;10.0;2.0;BusinessDevelopment;ClientEngagement;86.0;5583.0;8.0;3.0;20.0;Low;Exceed Expectations;Promoter;Promoter;Passive
AB0131;Male;;Graduation;Economics;Married;1.0;13.0;1.0;BusinessDevelopment;Conference;90.0;10661.0;13.0;10.0;14.0;Medium;Exceed Expectations;Detractor;Detractor;Promoter
AB0132;Male;34.0;Under Graduation;Bio-technology;Married;4.0;16.0;2.0;BusinessDevelopment;Conference;89.0;8918.0;;3.0;15.0;Very High;Met Expectations;Passive;Passive;Promoter
AB0133;Male;27.0;Under Graduation;Marketing / Finance;Married;1.0;4.0;10.0;ClientSolutions;LongTermProject;151.0;2972.0;3.0;1.0;18.0;High;Met Expectations;Promoter;Passive;Passive
AB0134;Male;40.0;Masters / PHD;Bio-technology;Married;4.0;6.0;10.0;ClientSolutions;No;53.0;3248.0;8.0;4.0;22.0;High;Exceed Expectations;Passive;Passive;Passive
AB0135;Female;45.0;Graduation;Marketing / Finance;Divorced;3.0;27.0;9.0;ClientSolutions;Conference;101.0;15085.3;7.0;;16.0;High;Inconsistent;Promoter;Passive;Passive
AB0136;Male;30.0;Graduation;Bio-technology;Married;1.0;16.0;3.0;ClientSolutions;LongTermProject;57.0;4075.0;14.0;13.0;15.0;High;Met Expectations;Detractor;Passive;Passive
AB0137;Male;21.0;Graduation;Economics;Married;3.0;8.0;26.6;BusinessDevelopment;Conference;116.0;9485.0;3.0;3.0;19.0;Medium;Met Expectations;Detractor;Passive;Promoter
AB0138;Male;35.0;Masters / PHD;Marketing / Finance;Married;5.0;9.0;6.0;BusinessDevelopment;Conference;34.0;7148.0;7.0;5.0;16.0;High;Met Expectations;Passive;Promoter;Passive
AB0139;Male;37.0;Masters / PHD;Bio-technology;Single;1.0;27.0;14.0;BusinessDevelopment;Conference;84.0;14628.0;;0.0;15.0;High;Met Expectations;Passive;Detractor;Detractor
AB0140;Female;40.0;Masters / PHD;Economics;Married;1.0;13.0;26.6;ClientSolutions;Conference;93.0;4509.0;13.0;3.0;16.0;High;Met Expectations;Passive;Promoter;Passive
AB0141;Female;21.0;Graduation;Economics;Divorced;1.0;4.0;7.0;ClientSolutions;Conference;164.0;3193.0;4.0;3.0;22.0;High;Exceed Expectations;Detractor;Promoter;Passive
